 ,Area1,Mean1,StdDev1,Min1,Max1,IntDen1,RawIntDen1,Area2,Mean2,StdDev2,Min2,Max2,IntDen2,RawIntDen2,Area3,Mean3,StdDev3,Min3,Max3,IntDen3,RawIntDen3,Area4,Mean4,StdDev4,Min4,Max4,IntDen4,RawIntDen4,Area5,Mean5,StdDev5,Min5,Max5,IntDen5,RawIntDen5,Area6,Mean6,StdDev6,Min6,Max6,IntDen6,RawIntDen6,Area7,Mean7,StdDev7,Min7,Max7,IntDen7,RawIntDen7,Area8,Mean8,StdDev8,Min8,Max8,IntDen8,RawIntDen8,Area9,Mean9,StdDev9,Min9,Max9,IntDen9,RawIntDen9,Area10,Mean10,StdDev10,Min10,Max10,IntDen10,RawIntDen10,Area11,Mean11,StdDev11,Min11,Max11,IntDen11,RawIntDen11,Area12,Mean12,StdDev12,Min12,Max12,IntDen12,RawIntDen12,Area13,Mean13,StdDev13,Min13,Max13,IntDen13,RawIntDen13,Area14,Mean14,StdDev14,Min14,Max14,IntDen14,RawIntDen14,Area15,Mean15,StdDev15,Min15,Max15,IntDen15,RawIntDen15,Area16,Mean16,StdDev16,Min16,Max16,IntDen16,RawIntDen16
1,401.087,90.028,19.868,26,158,36109.121,105153,400.400,123.523,28.612,45,234,49458.641,144028,548.403,115.306,29.516,38,208,63233.969,184143,500.328,116.872,23.844,31,199,58474.500,170283,597.852,118.245,37.471,5,272,70693.219,205865,597.852,203.255,128.287,41,642,121516.516,353867,597.852,171.818,72.388,48,333,102721.766,299135,730.747,107.289,20.876,42,197,78401.430,228312,879.437,194.902,109.837,39,520,171403.703,499143,434.053,116.479,22.991,46,188,50558.191,147230,787.064,99.153,20.655,30,174,78039.828,227259,434.053,97.085,20.191,36,171,42139.840,122715,848.875,210.346,98.506,45,486,178557.672,519976,372.241,155.186,38.091,50,256,57766.762,168222,548.403,98.284,19.737,33,167,53899.094,156959,597.852,106.605,24.828,42,195,63733.953,185599
2,401.087,92.144,19.244,13,151,36957.652,107624,400.400,122.238,28.423,43,207,48943.887,142529,548.403,116.913,30.140,44,235,64115.469,186710,500.328,114.806,24.465,49,190,57440.879,167273,597.852,119.187,36.663,32,274,71256.047,207504,597.852,203.531,127.195,44,593,121681.688,354348,597.852,171.545,71.848,43,340,102558.305,298659,730.747,106.940,21.017,42,174,78145.938,227568,879.437,194.139,109.668,37,539,170732.719,497189,434.053,116.229,22.956,48,207,50449.680,146914,787.064,100.831,21.222,38,175,79360.188,231104,434.053,98.914,20.161,28,174,42933.773,125027,848.875,212.326,98.243,51,517,180238.266,524870,372.241,156.331,38.947,59,305,58192.918,169463,548.403,99.441,19.599,39,168,54534.031,158808,597.852,103.752,24.682,24,201,62028.305,180632
3,401.087,91.472,18.994,29,145,36688.086,106839,400.400,123.048,28.175,41,209,49268.398,143474,548.403,116.373,29.886,35,218,63819.117,185847,500.328,115.293,23.312,42,186,57684.348,167982,597.852,118.792,36.765,34,247,71020.133,206817,597.852,203.036,127.199,38,579,121385.336,353485,597.852,171.886,71.097,44,327,102762.281,299253,730.747,107.670,21.316,37,179,78679.234,229121,879.437,193.727,108.900,36,523,170370.438,496134,434.053,117.857,22.835,36,194,51156.047,148971,787.064,100.516,20.912,30,170,79112.602,230383,434.053,97.440,20.439,40,155,42294.023,123164,848.875,210.061,98.308,51,494,178315.578,519271,372.241,155.472,38.712,65,270,57873.215,168532,548.403,99.684,20.411,38,168,54666.926,159195,597.852,104.172,23.362,44,186,62279.672,181364
4,401.087,88.608,18.473,28,161,35539.426,103494,400.400,124.754,28.462,47,205,49951.414,145463,548.403,114.106,29.537,31,214,62576.367,182228,500.328,113.673,23.984,42,204,56873.934,165622,597.852,119.380,36.112,36,253,71371.422,207840,597.852,204.104,128.381,44,586,122024.055,355345,597.852,172.528,70.656,39,332,103146.547,300372,730.747,107.066,20.791,38,172,78238.312,227837,879.437,195.807,108.680,46,531,172200.391,501463,434.053,116.249,22.528,48,190,50458.266,146939,787.064,101.130,20.667,32,178,79595.414,231789,434.053,98.513,20.387,23,182,42760.012,124521,848.875,211.744,98.342,51,506,179744.109,523431,372.241,155.680,38.240,55,296,57950.480,168757,548.403,98.663,20.944,26,179,54107.191,157565,597.852,104.572,24.436,43,185,62518.676,182060
5,401.087,91.269,19.215,26,162,36606.699,106602,400.400,123.555,27.912,47,209,49471.344,144065,548.403,116.888,29.452,45,246,64101.730,186670,500.328,114.833,23.140,45,184,57454.273,167312,597.852,116.979,36.648,34,246,69936.031,203660,597.852,200.648,125.480,38,568,119957.836,349328,597.852,170.149,70.420,41,361,101724.195,296230,730.747,105.902,20.910,39,191,77387.719,225360,879.437,196.085,110.114,39,513,172444.203,502173,434.053,116.449,23.393,40,197,50544.801,147191,787.064,100.762,21.197,29,177,79306.273,230947,434.053,98.163,20.393,15,166,42607.891,124078,848.875,210.336,98.275,36,491,178549.094,519951,372.241,158.093,38.109,42,272,58848.801,171373,548.403,99.608,19.830,38,174,54625.375,159074,597.852,103.554,24.832,35,187,61909.836,180287
6,401.087,89.611,18.786,35,148,35941.887,104666,400.400,124.297,27.619,50,208,49768.383,144930,548.403,115.338,28.905,41,213,63251.828,184195,500.328,115.578,23.197,40,220,57826.855,168397,597.852,118.084,36.376,28,251,70596.727,205584,597.852,201.705,127.016,29,592,120589.688,351168,597.852,171.630,71.930,33,332,102609.125,298807,730.747,106.809,20.312,43,178,78050.133,227289,879.437,194.271,109.146,44,515,170849.125,497528,434.053,117.538,23.551,40,216,51017.656,148568,787.064,100.883,20.903,31,180,79401.398,231224,434.053,98.008,20.120,37,163,42540.582,123882,848.875,209.569,96.661,58,498,177898.016,518055,372.241,153.458,38.852,43,260,57123.582,166349,548.403,97.556,19.756,39,167,53500.066,155797,597.852,104.159,24.665,38,195,62271.773,181341
7,401.087,89.134,18.764,29,156,35750.613,104109,400.400,125.696,28.485,45,208,50328.461,146561,548.403,115.395,30.321,38,220,63283.074,184286,500.328,114.670,23.515,42,204,57372.543,167074,597.852,119.763,36.494,37,249,71600.812,208508,597.852,203.225,127.300,43,600,121498.312,353814,597.852,172.727,71.422,47,340,103265.359,300718,730.747,107.880,21.150,28,188,78833.078,229569,879.437,193.397,109.286,35,525,170080.266,495289,434.053,115.803,23.250,26,195,50264.590,146375,787.064,99.679,20.801,21,186,78453.625,228464,434.053,98.180,20.552,35,178,42615.445,124100,848.875,210.561,97.188,51,498,178739.672,520506,372.241,152.368,38.809,63,268,56717.688,165167,548.403,96.429,19.862,24,177,52881.953,153997,597.852,105.302,24.254,36,182,62955.133,183331
8,401.087,89.162,18.888,30,149,35761.602,104141,400.400,125.237,28.517,43,223,50144.746,146026,548.403,114.379,28.672,28,213,62725.742,182663,500.328,115.771,24.744,31,207,57923.352,168678,597.852,118.052,36.346,30,244,70577.836,205529,597.852,203.435,126.719,33,622,121623.992,354180,597.852,170.926,71.023,36,343,102188.812,297583,730.747,107.547,21.115,35,195,78589.953,228861,879.437,193.366,108.132,41,495,170053.469,495211,434.053,117.589,23.605,48,192,51039.977,148633,787.064,102.699,20.827,40,183,80830.609,235386,434.053,99.655,20.917,41,172,43255.535,125964,848.875,211.314,96.693,41,486,179379.078,522368,372.241,157.231,39.017,28,265,58527.727,170438,548.403,100.085,19.989,34,170,54887.043,159836,597.852,106.375,24.686,31,194,63596.598,185199
9,401.087,88.243,19.279,17,154,35393.141,103068,400.400,125.350,28.400,46,222,50190.074,146158,548.403,113.890,29.312,44,216,62457.551,181882,500.328,114.456,23.900,45,210,57265.746,166763,597.852,118.620,35.808,44,236,70917.109,206517,597.852,202.785,126.094,38,577,121235.273,353048,597.852,172.064,70.347,37,339,102869.078,299564,730.747,107.495,20.730,35,179,78551.492,228749,879.437,192.486,109.096,21,552,169279.469,492957,434.053,116.670,22.670,43,184,50640.953,147471,787.064,100.830,20.529,29,175,79359.844,231103,434.053,97.416,20.353,33,157,42283.723,123134,848.875,209.503,96.929,55,489,177842.047,517892,372.241,155.819,38.044,68,269,58002.332,168908,548.403,99.515,20.189,36,171,54574.551,158926,597.852,103.977,24.514,37,196,62162.918,181024
10,401.087,89.355,18.629,28,152,35839.211,104367,400.400,123.828,27.583,57,204,49580.543,144383,548.403,115.192,29.914,32,218,63171.816,183962,500.328,114.166,23.955,45,203,57120.492,166340,597.852,117.133,36.627,35,255,70028.062,203928,597.852,201.346,126.439,46,591,120375.406,350544,597.852,170.384,70.979,41,333,101864.648,296639,730.747,106.510,21.013,39,183,77831.734,226653,879.437,192.089,107.686,20,502,168929.891,491939,434.053,115.734,23.083,39,184,50234.715,146288,787.064,99.496,20.748,16,181,78309.398,228044,434.053,96.855,20.560,41,175,42040.254,122425,848.875,209.943,97.267,41,484,178214.969,518978,372.241,152.566,37.370,68,264,56791.516,165382,548.403,97.512,20.513,29,173,53476.027,155727,597.852,104.544,25.197,30,190,62501.848,182011
